Threat Actor,Tool,Type
MuddyWater,BugSleep,Backdoor
MuddyWater,Atera,Non-malicious tool
MuddyWater,Egnyte,Non-malicious tool
Tortoiseshell,AhMyth RAT,Backdoor
Tortoiseshell,AhMyth RAT,Credential stealer
Tortoiseshell,AhMyth RAT,Exfiltration
Tortoiseshell,AhMyth RAT,Info stealer
Tortoiseshell,AhMyth RAT,Reconnaissance
Tortoiseshell,SysJoker,Backdoor
Tortoiseshell,BiBi-Linux Wiper,Wiper
Tortoiseshell,BiBi-Windows Wiper,Wiper
Tortoiseshell,MoaazDroid,Backdoor
Tortoiseshell,MoaazDroid,Info stealer
Tortoiseshell,MythDroid,Backdoor
Tortoiseshell,MythDroid,Remote Access Trojan (RAT)
Tortoiseshell,CoolWipe,Wiper
Tortoiseshell,ChillWipe,Wiper
Tortoiseshell,RedRuse,Backdoor
Tortoiseshell,RedRuse,Info stealer
Tortoiseshell,Magnifi,Downloader
Tortoiseshell,SoloDroid,Info stealer
Tortoiseshell,PasqotDroid,Backdoor
Tortoiseshell,PasqotDroid,Info stealer
Tortoiseshell,LovelyDroid,Info stealer
Tortoiseshell,PowerLess Backdoor,Backdoor
Tortoiseshell,PowerLess Backdoor,Info stealer
Tortoiseshell,PowerLess Backdoor,Keylogger
Tortoiseshell,PowerLess Backdoor,Reconnaissance
APT42,BROKEYOLK,Downloader
APT42,MAGICDROP,Dropper
APT42,PINEFLOWER,Backdoor
APT42,POWERPOST,Reconnaissance
APT42,TabbyCat,Dropper
APT42,TameCat,Backdoor
APT42,VBREVSHELL,Backdoor
APT42,VINETHORN,Backdoor
APT42,VINETHORN,Info stealer
APT42,NICECURL,Backdoor
APT42,Net,Info stealer
APT42,Net,Non-malicious tool
APT42,Net,OS native tool
APT42,Net,Reconnaissance
APT42,PowerShell,Non-malicious tool
APT42,PowerShell,OS native tool
APT42,Cmd,Non-malicious tool
APT42,Cmd,OS native tool
APT42,ping,Non-malicious tool
APT42,ping,OS native tool
APT42,whoami,Non-malicious tool
APT42,whoami,OS native tool
APT42,whoami,Reconnaissance
APT42,JavaScript,Backdoor
APT42,JavaScript,Credential stealer
APT42,JavaScript,Downloader
APT42,JavaScript,Dropper
APT42,JavaScript,Exfiltration
APT42,JavaScript,Info stealer
APT42,JavaScript,Loader
APT42,JavaScript,Non-malicious tool
APT42,JavaScript,Reconnaissance
APT42,Del,Non-malicious tool
APT42,Del,OS native tool
APT42,Notepad,OS native tool
APT42,hostname.exe,Non-malicious tool
APT42,hostname.exe,OS native tool
APT42,Get-ChildItem,Non-malicious tool
APT42,mkdir,Non-malicious tool
APT42,type,OS native tool
APT42,rm,OS native tool
APT42,explorer,OS native tool
APT42,exit,OS native tool
APT42,mv,Non-malicious tool
APT42,VBScript,Non-malicious tool
APT42,CHAIRSMACK,Backdoor
APT42,CHAIRSMACK,Keylogger
APT42,CHAIRSMACK,Reconnaissance
APT42,DOSTEALER,Info stealer
APT42,DOSTEALER,Keylogger
APT42,GHAMBAR,Backdoor
APT42,GHAMBAR,Credential stealer
APT42,GHAMBAR,Info stealer
APT42,SILENTUPLOADER,Exfiltration
APT42,GorjolEcho,Backdoor
APT42,GorjolEcho,Info stealer
APT42,Hyperscrape,Exfiltration
APT42,Hyperscrape,Info stealer
APT42,curl,Downloader
APT42,curl,Exfiltration
APT42,curl,Non-malicious tool
APT42,curl,OS native tool
Dune,BiBi-Windows Wiper,Wiper
Dune,Net,Info stealer
Dune,Net,Non-malicious tool
Dune,Net,OS native tool
Dune,Net,Reconnaissance
Dune,Cmd,Non-malicious tool
Dune,Cmd,OS native tool
Dune,WinRAR,Compression
Dune,WinRAR,Non-malicious tool
Dune,ping,Non-malicious tool
Dune,ping,OS native tool
Dune,echo,OS native tool
Dune,reGeorg,Tunneling
Dune,reGeorg,Web Shell
Dune,Active Directory Explorer,Non-malicious tool
Dune,Active Directory Explorer,Reconnaissance
Dune,OpenSSH,Non-malicious tool
Dune,OpenSSH,Tunneling
Dune,ZeroCleare,Wiper
Dune,WMIC,OS native tool
Dune,VSSAdmin,OS native tool
Dune,BCDEdit,Non-malicious tool
Dune,SDelete,Non-malicious tool
Dune,format,OS native tool
Dune,ssh,Non-malicious tool
Dune,ssh,OS native tool
Tortoiseshell,MiniBike Backdoor,Backdoor
Tortoiseshell,MiniBike Backdoor,Exfiltration
Tortoiseshell,MiniBike Backdoor,Info stealer
Tortoiseshell,MiniBus Backdoor,Backdoor
Tortoiseshell,MiniBus Backdoor,Exfiltration
Tortoiseshell,MiniBus Backdoor,Info stealer
Tortoiseshell,LightRail,Exfiltration
Tortoiseshell,LightRail,Tunneling
Tortoiseshell,LastenZug,Exfiltration
Tortoiseshell,LastenZug,Non-malicious tool
Tortoiseshell,LastenZug,Tunneling
Tortoiseshell,PowerShell,Non-malicious tool
Tortoiseshell,PowerShell,OS native tool
Tortoiseshell,Rundll32,OS native tool
APT33,FalseFont,Backdoor
APT33,PowerShell,Non-malicious tool
APT33,PowerShell,OS native tool
APT33,Cmd,Non-malicious tool
APT33,Cmd,OS native tool
APT35,CharmPower,Backdoor
APT35,CharmPower,Downloader
APT35,CharmPower,Exfiltration
APT35,CharmPower,Info stealer
APT35,PowerLess Backdoor,Backdoor
APT35,PowerLess Backdoor,Info stealer
APT35,PowerLess Backdoor,Keylogger
APT35,PowerLess Backdoor,Reconnaissance
APT35,NokNok,Backdoor
APT35,NokNok,Info stealer
APT35,NokNok,Obfuscation
APT35,MediaPl,Backdoor
APT35,BasicStar,Backdoor
APT35,7-Zip,Compression
APT35,7-Zip,Exfiltration
APT35,7-Zip,Non-malicious tool
APT35,WinRAR,Compression
APT35,WinRAR,Non-malicious tool
APT35,RatHole,Backdoor
APT35,CommandCam,Info stealer
APT35,ChromeHistoryView,Non-malicious tool
APT35,SnailProxy,Non-malicious tool
APT35,Korku Loader,Downloader
APT35,networksetup,OS native tool
APT35,PowerShell,Non-malicious tool
APT35,PowerShell,OS native tool
APT35,NirCmd,Non-malicious tool
APT35,Cmd,Non-malicious tool
APT35,Cmd,OS native tool
